native_pipe_id,asset_id,break_date,break_type,result,source,rminfo,wo_dateinc
WM07925-C,207,2022,CIRCUMFERENCE BREAK,Resolved,WORKORDER,0,20020305.0
WM03782-C,208,2022,CIRCUMFERENCE BREAK,Resolved,WORKORDER,0,20121001.0
WM06976-A,209,2022,"PINHOLE <=1""",Resolved,WORKORDER,0,
WM06872-C,210,2022,CIRCUMFERENCE BREAK,Resolved,WORKORDER,0,20040315.0
WM08988-C,211,2022,CIRCUMFERENCE BREAK,Resolved,RECORD,1,20110208.0
WM11399-A,212,2022,CIRCUMFERENCE BREAK,Resolved,WORKORDER,0,20010616.0
WM05929-A,213,2022,CIRCUMFERENCE BREAK,Resolved,WORKORDER,0,20101213.0
WM02162-L,214,2022,CONTRACTOR HIT,Resolved,WORKORDER,0,20091205.0
WM12184-S,215,2022,CIRCUMFERENCE BREAK,Resolved,WORKORDER,0,20021013.0
WM01840-A,216,2022,CIRCUMFERENCE BREAK,Resolved,WORKORDER,0,20050811.0
WM13432-A,217,2022,CIRCUMFERENCE BREAK,Resolved,WORKORDER,0,20030409.0
WM08126-C,218,2022,JOINT FAILURE,Resolved,WORKORDER,0,20020817.0
WM13247-C,219,2022,CIRCUMFERENCE BREAK,Resolved,RECORD,1,20010901.0
WM10192-C,220,2022,CIRCUMFERENCE BREAK,Resolved,RECORD,1,20061226.0
WM12250-C,221,2022,CIRCUMFERENCE BREAK,Resolved,WORKORDER,0,20141118.0
WM06185-A,222,2022,CIRCUMFERENCE BREAK,Resolved,RECORD,1,20070123.0
WM12435-C,223,2022,CIRCUMFERENCE BREAK,Resolved,WORKORDER,0,20030922.0
WM09107-A,224,2022,CIRCUMFERENCE BREAK,Resolved,WORKORDER,0,20211114.0
WM08535-S,225,2022,CIRCUMFERENCE BREAK,Resolved,WORKORDER,0,20121101.0
WM08265-A,226,2022,CIRCUMFERENCE BREAK,Resolved,WORKORDER,0,20070710.0
WM03024-C,227,2022,CIRCUMFERENCE BREAK,Resolved,WORKORDER,0,20140309.0
WM06792-S,228,2022,CIRCUMFERENCE BREAK,Resolved,RECORD,1,20121126.0
WM13388-C,229,2022,CIRCUMFERENCE BREAK,Resolved,RECORD,1,20171215.0
WM08182-C,230,2022,CIRCUMFERENCE BREAK,Resolved,RECORD,1,20130320.0
WM04471-C,231,2022,CIRCUMFERENCE BREAK,Resolved,RECORD,1,20161015.0
WM03721-C,232,2022,CIRCUMFERENCE BREAK,Resolved,RECORD,1,20171004.0
WM09958-C,233,2022,CIRCUMFERENCE BREAK,Resolved,RECORD,1,20101008.0
WM06282-A,234,2022,CIRCUMFERENCE BREAK,Resolved,WORKORDER,0,20201003.0
WM11821-A,235,2022,CONTRACTOR HIT,Resolved,WORKORDER,0,20131121.0
WM05777-P,236,2022,CIRCUMFERENCE BREAK,Resolved,WORKORDER,0,20040910.0
WM08732-C,237,2022,CIRCUMFERENCE BREAK,Resolved,RECORD,1,20120903.0
WM14457-C,238,2022,CONTRACTOR HIT,Resolved,WORKORDER,0,20170119.0
WM09235-C,239,2022,CIRCUMFERENCE BREAK,Resolved,WORKORDER,0,20110818.0
WM02312-A,240,2022,CIRCUMFERENCE BREAK,Resolved,WORKORDER,0,20031028.0
WM09112-C,241,2022,CIRCUMFERENCE BREAK,Resolved,RECORD,1,20161112.0
WM11119-C,242,2022,JOINT FAILURE,Resolved,WORKORDER,0,20120327.0
WM11329-C,243,2022,CIRCUMFERENCE BREAK,Resolved,WORKORDER,0,
WM12594-C,244,2022,JOINT FAILURE,Resolved,WORKORDER,0,20130304.0
WM06367-C,245,2022,CIRCUMFERENCE BREAK,Resolved,WORKORDER,0,
WM03476-C,246,2022,"PINHOLE >1""",Resolved,WORKORDER,0,20170804.0
WM08812-C,247,2022,CIRCUMFERENCE BREAK,Resolved,RECORD,1,
WM08737-C,248,2022,CONTRACTOR HIT,Resolved,WORKORDER,0,20130203.0
WM03583-C,249,2022,CIRCUMFERENCE BREAK,Resolved,WORKORDER,0,20070601.0
WM07408-C,250,2022,UNKNOWN,Resolved,WORKORDER,0,20040313.0
WM01881-A,251,2022,CONTRACTOR HIT,Resolved,WORKORDER,0,20090208.0
WM10377-C,252,2022,CONTRACTOR HIT,Resolved,WORKORDER,0,20091116.0
WM11511-A,253,2022,CIRCUMFERENCE BREAK,Resolved,WORKORDER,0,20011001.0
WM05500-C,254,2022,,Resolved,RECORD,1,20130617.0
WM14626-A,255,2022,CONTRACTOR HIT,Resolved,WORKORDER,0,20180706.0
WM09050-A,256,2022,CIRCUMFERENCE BREAK,Resolved,WORKORDER,0,20140527.0
WM03843-C,257,2022,CIRCUMFERENCE BREAK,Resolved,WORKORDER,0,20120709.0
WM09994-A,258,2022,"PINHOLE <=1""",Resolved,RECORD,1,20200222.0
WM12065-A,259,2022,JOINT FAILURE,Resolved,RECORD,1,20030513.0
WM00118-A,260,2022,CIRCUMFERENCE BREAK,Resolved,WORKORDER,0,20120426.0
WM06341-C,261,2022,"PINHOLE <=1""",Resolved,WORKORDER,0,20020606.0
WM02247-A,262,2022,CIRCUMFERENCE BREAK,Resolved,WORKORDER,0,
WM11921-C,263,2022,CIRCUMFERENCE BREAK,Resolved,RECORD,1,20150609.0
WM10952-C,264,2022,"PINHOLE <=1""",Resolved,WORKORDER,0,20030409.0
WM10531-A,265,2022,CIRCUMFERENCE BREAK,Resolved,RECORD,1,20050912.0
WM11288-C,266,2022,JOINT FAILURE,Resolved,WORKORDER,0,20021009.0
WM09505-C,267,2022,CIRCUMFERENCE BREAK,Resolved,WORKORDER,0,20011002.0
WM09418-C,268,2022,CIRCUMFERENCE BREAK,Resolved,WORKORDER,0,20010726.0
WM11137-C,269,2022,CIRCUMFERENCE BREAK,Resolved,WORKORDER,0,20021118.0
WM13660-A,270,2022,CIRCUMFERENCE BREAK,Resolved,WORKORDER,0,20170714.0
WM10080-C,271,2022,CIRCUMFERENCE BREAK,Resolved,WORKORDER,0,20190318.0
WM14052-C,272,2022,CIRCUMFERENCE BREAK,Resolved,WORKORDER,0,20160704.0
WM11513-A,273,2022,CIRCUMFERENCE BREAK,Resolved,RECORD,1,20130205.0
WM12592-A,274,2022,CIRCUMFERENCE BREAK,Resolved,WORKORDER,0,20141002.0
WM02278-C,275,2022,CIRCUMFERENCE BREAK,Resolved,WORKORDER,0,20171106.0
WM06832-D,276,2022,"PINHOLE >1""",Resolved,WORKORDER,0,
WM01303-A,277,2022,CIRCUMFERENCE BREAK,Resolved,WORKORDER,0,20170521.0
WM07050-C,278,2022,CIRCUMFERENCE BREAK,Resolved,WORKORDER,0,20071228.0
WM04788-A,279,2022,CIRCUMFERENCE BREAK,Resolved,WORKORDER,0,20011218.0
WM04429-A,280,2022,CIRCUMFERENCE BREAK,Resolved,WORKORDER,0,20040625.0
WM08542-A,281,2022,CIRCUMFERENCE BREAK,Resolved,WORKORDER,0,20020809.0
WM09662-A,282,2022,CIRCUMFERENCE BREAK,Resolved,WORKORDER,0,20070419.0
WM07769-C,283,2022,CIRCUMFERENCE BREAK,Resolved,WORKORDER,0,20170220.0
WM00881-A,284,2022,CONTRACTOR HIT,Resolved,WORKORDER,0,20180505.0
WM14773-C,285,2022,"PINHOLE <=1""",Resolved,WORKORDER,0,20200916.0
WM14854-C,286,2022,CIRCUMFERENCE BREAK,Resolved,RECORD,1,20131220.0
WM03853-C,287,2022,CIRCUMFERENCE BREAK,Resolved,RECORD,1,20200403.0
WM04919-C,288,2022,CIRCUMFERENCE BREAK,Resolved,RECORD,1,20011225.0
WM08697-A,289,2022,CIRCUMFERENCE BREAK,Resolved,RECORD,1,
WM04195-C,290,2022,"PINHOLE >1""",Resolved,WORKORDER,0,20020910.0
WM05083-C,291,2022,CIRCUMFERENCE BREAK,Resolved,WORKORDER,0,20130426.0
WM10774-C,292,2022,CIRCUMFERENCE BREAK,Resolved,RECORD,1,20200110.0
WM09107-A,293,2022,CIRCUMFERENCE BREAK,Resolved,WORKORDER,0,20180815.0
WM08265-A,294,2022,CIRCUMFERENCE BREAK,Resolved,RECORD,1,20131127.0
WM08182-C,295,2022,CIRCUMFERENCE BREAK,Resolved,WORKORDER,0,20110610.0
WM03721-C,296,2022,CIRCUMFERENCE BREAK,Resolved,RECORD,1,20020218.0
WM09958-C,297,2022,CIRCUMFERENCE BREAK,Resolved,WORKORDER,0,20170321.0
WM06282-A,298,2022,JOINT FAILURE,Resolved,RECORD,1,20150208.0
WM11821-A,299,2022,CIRCUMFERENCE BREAK,Resolved,RECORD,1,20020821.0
WM02312-A,300,2022,"PINHOLE <=1""",Resolved,WORKORDER,0,20190115.0
WM12594-C,301,2022,CIRCUMFERENCE BREAK,Resolved,RECORD,1,20051210.0
WM06367-C,302,2022,"PINHOLE >1""",Resolved,WORKORDER,0,
WM08737-C,303,2022,"PINHOLE >1""",Resolved,RECORD,1,20050914.0
WM07408-C,304,2022,CIRCUMFERENCE BREAK,Resolved,WORKORDER,0,20140316.0
WM05500-C,305,2022,,Resolved,WORKORDER,0,20031122.0
WM14626-A,306,2022,CIRCUMFERENCE BREAK,Resolved,WORKORDER,0,
WM06341-C,307,2022,CIRCUMFERENCE BREAK,Resolved,WORKORDER,0,20051112.0
WM02247-A,308,2022,CONTRACTOR HIT,Resolved,WORKORDER,0,20100906.0
WM09505-C,309,2022,CIRCUMFERENCE BREAK,Resolved,RECORD,1,20010507.0
WM09418-C,310,2022,CIRCUMFERENCE BREAK,Resolved,WORKORDER,0,
WM11137-C,311,2022,CIRCUMFERENCE BREAK,Resolved,WORKORDER,0,20170901.0
WM10080-C,312,2022,CIRCUMFERENCE BREAK,Resolved,WORKORDER,0,20070417.0
WM14052-C,313,2022,CIRCUMFERENCE BREAK,Resolved,WORKORDER,0,20120419.0
WM06832-D,314,2022,CIRCUMFERENCE BREAK,Resolved,WORKORDER,0,20070110.0
WM07050-C,315,2022,CIRCUMFERENCE BREAK,Resolved,WORKORDER,0,20181118.0
WM04788-A,316,2022,"PINHOLE >1""",Resolved,RECORD,1,20150612.0
WM08542-A,317,2022,CIRCUMFERENCE BREAK,Resolved,RECORD,1,20210521.0
WM07769-C,318,2022,CIRCUMFERENCE BREAK,Resolved,WORKORDER,0,20180613.0
WM03853-C,319,2022,CIRCUMFERENCE BREAK,Resolved,WORKORDER,0,20111018.0
WM04919-C,320,2022,JOINT FAILURE,Resolved,WORKORDER,0,
WM11821-A,321,2022,CONTRACTOR HIT,Resolved,RECORD,1,20040905.0
WM06367-C,322,2022,,Resolved,WORKORDER,0,20210420.0
WM08737-C,323,2022,CIRCUMFERENCE BREAK,Resolved,WORKORDER,0,20171006.0
WM06341-C,324,2022,JOINT FAILURE,Resolved,WORKORDER,0,20101123.0
WM09505-C,325,2022,JOINT FAILURE,Resolved,RECORD,1,20200417.0
WM09418-C,326,2022,CIRCUMFERENCE BREAK,Resolved,WORKORDER,0,20210723.0
WM11137-C,327,2022,UNKNOWN,Resolved,WORKORDER,0,20181104.0
WM10080-C,328,2022,CIRCUMFERENCE BREAK,Resolved,RECORD,1,20110104.0
WM08542-A,329,2022,CIRCUMFERENCE BREAK,Resolved,WORKORDER,0,20141003.0
WM11821-A,330,2022,CIRCUMFERENCE BREAK,Resolved,WORKORDER,0,20150610.0
WM06341-C,331,2022,CIRCUMFERENCE BREAK,Resolved,WORKORDER,0,20160302.0
WM09505-C,332,2022,CIRCUMFERENCE BREAK,Resolved,RECORD,1,20110906.0
WM11137-C,333,2022,JOINT FAILURE,Resolved,RECORD,1,20150226.0
WM10080-C,334,2022,CIRCUMFERENCE BREAK,Resolved,WORKORDER,0,20150101.0
WM11821-A,335,2022,,Resolved,WORKORDER,0,20140504.0
WM09505-C,336,2022,CIRCUMFERENCE BREAK,Resolved,RECORD,1,20020210.0
WM11821-A,337,2022,CIRCUMFERENCE BREAK,Resolved,WORKORDER,0,20191017.0
WM11821-A,338,2022,"PINHOLE <=1""",Resolved,RECORD,1,20141017.0
WM11821-A,339,2022,CIRCUMFERENCE BREAK,Resolved,WORKORDER,0,20100119.0
